id_autor,autor_genero,nombre_autor,autor_rating_promedio,cantidad_rating_autor,cantidad_comentarios,id_pais
7874960,Femenino,Ofelia Gränd,3.88,2050,830,211
7066657,Femenino,Petra F. Bagnardi,3.4,130,61,212
6894841,Masculino,Felix Abt,3.75,159,43,212
2043856,Masculino,محمد الماغوط,3.88,7810,984,205
2957451,Masculino,مصطفى خليفة,4.03,9628,1831,205
3078068,Masculino,أسماء معيكل,3.68,69,4,205
4125251,Masculino,John Climacus,4.54,487,40,205
5990662,Masculino,Wesley Chu,3.82,18676,2516,216
6903476,Femenino,Yeyu,4.01,97,26,216
7020203,Femenino,Janie Chang,4.2,3832,657,216
5340891,Femenino,Kichiku Neko,4.35,4999,548,216
2119605,Masculino,Steve Cioccolanti,4.14,206,45,215
73531,Masculino,Ajahn Chah,4.41,1707,128,215
121789,Masculino,Karma-glin-pa,4.08,2415,98,43
8415755,Femenino,Tamara Philip,4.37,169,54,225
2963250,Femenino,Füruzan,4.01,1675,140,228
109260,Masculino,Anthony Capella,3.61,8087,1147,231
1216796,Femenino,Sana Krasikov,3.79,2048,421,230
6765086,Femenino,Suzanne de Montigny,4.64,117,72,39
8201104,Masculino,Ariana Godoy,4.1,7019,565,235
6897529,Femenino,Dawna Raver,4.1,226,112,65
4999150,Femenino,Deanna Roy,4.1,8634,1541,65
3060064,Femenino,Nujood Ali,3.81,16761,2446,238
4118351,Femenino,Cat Clarke,3.87,18122,2862,240
2120057,Femenino,Gaile Parkin,3.67,5491,1044,240
1063732,Masculino,Paula Hawkins,3.87,1825603,121181,241
5263703,Femenino,NoViolet Bulawayo,3.72,15475,2081,241
569,Masculino,Khaled Hosseini,4.28,3406658,144673,1
875661,Masculino,Rumi,4.36,66551,3453,1
27209,Masculino,Amber Benson,3.77,25643,2951,65
4872191,Femenino,Abbi Glines,4.14,1286953,78769,65
10838,Masculino,Ismail Kadare,3.82,22619,2222,2
957894,Masculino,Albert Camus,3.99,876454,30650,10
6819578,Masculino,Augustine of Hippo,3.93,56663,2842,10
16319,Masculino,Suetonius,4.01,16092,633,10
1021062,Masculino,واسيني الأعرج,3.52,16070,2600,10
7929831,Masculino,Apuleius,3.92,13193,754,10
5413978,Femenino,L. Filloon,4.15,7835,518,192
1270672,Masculino,K.Z. Snow,3.76,5986,1080,242
500,Masculino,Jorge Luis Borges,4.32,200780,11766,11
76172,Masculino,Ernesto Che Guevara,3.79,35588,2030,11
30898,Masculino,Quino,4.57,20859,945,11
4789042,Femenino,S.B. Niccum,3.78,342,91,11
6443153,Femenino,Eva Márquez,3.61,708,179,11
7855177,Femenino,Romina Russell,3.93,14512,2481,11
4773417,Masculino,Tionne Rogers,4.17,1063,136,11
35548,Masculino,Manuel Puig,3.9,16906,1066,11
3602,Masculino,Alberto Manguel,3.89,31021,3241,11
389792,Masculino,W.H. Hudson,3.72,3526,388,11
3424060,Masculino,Adolfo Bioy Casares,3.99,25561,1965,11
5775606,Masculino,Ernesto Sabato,4.07,48947,2832,11
6864345,Masculino,Mirta Ines Trupp,4.24,146,67,11
4801312,Masculino,R.L. McSterlingthong,4,42,10,13
8073851,Femenino,Renae Kaye,4.1,18217,3078,14
