id_editorial,editorial
874,Black Panther Publishing
875,Black Rose Books
876,Black Sparrow Press
877,Black Swan
878,Black Thistle Press
879,Black Widow Press
880,Blackbirch Press
881,Blackbird Pub
882,Blackmask.com
883,Blackstaff Press
884,Blackstone Audio
885,Blackstone Audiobooks
886,Blackstone Publishing
887,Blackwell Publishers
888,Blackwell Publishing Professional
889,"Blackwell Publishing, Inc."
890,Blackwell Science
891,Bladon Medical Publishing
892,Blair
893,Blair - Blair
894,Blake
895,Blake Publishing
896,Blandford
897,Blandford Press
898,Blanvalet
899,Blanvalet Taschenbuch
900,Blanvalet Taschenbuch Verlag
901,Blanvalet Verlag GmbH
902,Blast Books
903,Blazevox Books
904,Blood & Guts Press
905,Blood Moon Productions
906,Bloodaxe Books
907,Bloomberg Press
908,Bloomsbury
909,Bloomsbury (NYC)
910,Bloomsbury / Continuum
911,Bloomsbury Academic
912,Bloomsbury Arden Shakespeare
913,Bloomsbury Childrens
914,Bloomsbury Childrens Books
915,Bloomsbury Children's Books
916,Bloomsbury Methuen Drama
917,Bloomsbury Publishing
918,Bloomsbury Publishing PLC
919,Bloomsbury T&T Clark
920,Bloomsbury U.S.A. Children's Books
921,Bloomsbury UK
922,Bloomsbury USA
923,Bloomsbury USA Childrens
924,Bloomsbury USA Children's Books
925,Blu
926,Blue Apple Books
927,Blue Dolphin Publishing
928,Blue Heron Publishing
929,Blue Leaf Publications
930,Blue Line Pro
931,Blue Moon Books
932,Blue Mountain Arts
933,Blue Mountain Press
934,Blue Sky Press
935,Blue Snake Books
936,Blue Works
937,Blueberry Press
938,BlueBridge
939,Bluejay Books
940,Blume
941,Blusson
942,BLV Verlagsgesellschaft mbH
943,Bmj Publishing Group
944,bnpublishing.com
945,BOA Editions Ltd.
946,Bobbs-Merrill
947,"Bodleian Library, University of Oxford"
948,Bodley Head
949,Body and Breath
950,Body Redesigning
951,Bolchazy-Carducci Publishers
952,Bold Hawk Press
953,Bold Strokes Books
954,Bold Type Books
955,Bolinda Publishing
956,Bollingen/Princeton University Press
957,Bollingen/Princeton University Press (NJ)
958,Bompiani
959,Bonanza Books
960,Bonneville
961,Bonus Books
962,Book Factory
963,Book Foundation
964,Book Jungle
965,Book of the Month Club
966,"Book Peddlers, The"
967,Book Publishing Company
968,Book Publishing Company (TN)
969,Book Sales
970,"Book Sales, Inc."
971,Book Tree
972,Bookclub-In-A-Box
973,Bookcraft
974,Booket
975,Booket (Seix Barral)
976,Bookhaven Press
977,Booklocker.com
978,"Booklocker.com, Inc."
979,Book-of-the-Month Club
980,Bookpartners
981,Books Americana
982,Books for Libraries
983,Books for Midwives Press
984,Books of Wonder
985,Books on Demand
986,Books on Tape
987,Booksales
988,Bookshop Junkie Press
989,Bookspan
990,BookstoEnjoy.com
991,BookSurge Classics
992,Booksurge Publishing
993,Bookthrift Co
994,Boomerang New Media
995,Boosey & Hawkes Inc
996,Booth-Clibborn
997,Booth-Clibborn Editions
998,Borderlands Press
999,Bordighera Press
1000,Borealis Books
1001,Borgo Pr
1002,Borgo Press
1003,Borneo Research Council
1004,Boston Common Press
1005,Boston Medical Publishing
1006,Boston Mills Press
1007,Botas
1008,Bote & Bock
1009,Bottletree Books
1010,Bottom Dog Pr
1011,Bourgois
1012,Bowman Communications
1013,BowTie Press
1014,Boxigami Books
1015,Boxtree
1016,"Boxtree, Limited"
1017,Boy Scouts of America
1018,Boydell Press
1019,Boyds Mills Press
1020,Boys Town Press
1021,Bradford Book
1022,Bradt Travel Guides
1023,Brady
1024,Brady Games
1025,BradyGames
1026,Bragelonne
1027,Brain Store
1028,Branchton Productions International
1029,Brandeis University Press
1030,Branden Books
1031,Brava
1032,Brazos Press
1033,Brazos Valley Press
1034,Breakaway Books
1035,Breakneck Books
1036,Breakwater Books
1037,Breckling Press
1038,Brentwood Benson
1039,Brentwood-Benson Music Publishing
1040,Brepols Publishers
1041,Briarwood Publications
1042,Brick Books
1043,Brick Tower Press
1044,Bridge City Books
1045,Bridge Works Publishing Company
1046,Bridge-Logos
1047,Bridgestone Books
1048,Brigham Young University
1049,Brigham Young University Press
1050,Bright Hill Press
1051,Bright Sky Press
1052,Brighter Child
1053,Brighter Vision Publications
1054,Brill
1055,Brill - Hes & de Graaf
1056,Brill - Nijhoff
1057,Brill Academic Publishers
1058,Brill/Rodopi
1059,Brilliance Audio
1060,Brimax Books
1061,Bristol Classical Press
1062,Bristol Park Books
1063,British Academy
1064,British Archaeological Reports Oxford Ltd
1065,British Broadcasting Corporation
1066,British Computer Society
1067,British Film Institute
1068,British Library
1069,British Museum Press
1070,Broadman & Holman
1071,Broadside Books
1072,Broadview Press Inc
1073,Broadway
1074,Broadway Books
1075,Broadway Business
1076,Broadway Play Publishing
1077,"Broadway Play Publishing, Inc."
1078,Broadway/Crown Publishing Group
1079,Broccoli Books
1080,Broken Jaw Press
1081,Broken Moon Press
1082,Bronze Bow Publishing
1083,Brookes Publishing
1084,Brookes Publishing Company
1085,Brookfield (VT)
1086,Brookings Institution Press
1087,Brooklands Books Ltd
1088,Brookline Books
